Last changed by,Oper. System Status,Order,Order Type,Activity,Operation WorkCenter,Operation short text,Description,Functional Location,Number of workers,planned Work,Actual work,Total planned costs,Total actual costs,Scheduled finish,Scheduled start
GBTCAC,TECO,24710489,72FC,0010,NEL-V6-2,Site Set up,MCDR NE-091-S-11 [PD] R14 Damage to Deck,GB.NEL.M0305001,2,8,0,"5,780.00",0,1/6/2023,1/1/2023
GBTCAC,TECO,24710489,72FC,0020,NEL-V6-2,Surface Prep and Apply Coatings,MCDR NE-091-S-11 [PD] R14 Damage to Deck,GB.NEL.M0305001,2,100,0,"5,780.00",0,1/6/2023,1/1/2023
GBTCAC,TECO,24710489,72FC,0030,NEL-V6-2,Site clean Up and De Struct,MCDR NE-091-S-11 [PD] R14 Damage to Deck,GB.NEL.M0305001,2,8,0,"5,780.00",0,1/6/2023,1/1/2023
GBTCAC,TECO,24710489,72FC,0040,NEL-V6-2,Extra repair to C1 Mezz deck,MCDR NE-091-S-11 [PD] R14 Damage to Deck,GB.NEL.M0305001,2,36,0,"5,780.00",0,1/6/2023,1/1/2023
GBTCAC,TECO,24710489,72FC,0050,NEL-V6-2,repair to Helideck walkway,MCDR NE-091-S-11 [PD] R14 Damage to Deck,GB.NEL.M0305001,2,18,0,"5,780.00",0,1/6/2023,1/1/2023
R_CPS_RFC,CNF  TECO,28297589,72FC,0020,NEL-V6-2,Remove salt deposits using Hydraclean,FM Eliminate the CSCC threat on flowline,GB.NEL.A0101888,2,126,126,"5,644.40","4,339.69",1/2/2023,1/1/2023
R_CPS_RFC,CNF  TECO,28297589,72FC,0025,NEL-ZD-N,Dye Pen welds,FM Eliminate the CSCC threat on flowline,GB.NEL.A0101888,2,20,1,"5,644.40","4,339.69",1/2/2023,1/1/2023
R_CPS_RFC,TECO,28297589,72FC,0026,NEL-ZD-N,Dye Pen welds,FM Eliminate the CSCC threat on flowline,GB.NEL.A0101888,2,20,0,"5,644.40","4,339.69",1/2/2023,1/1/2023
R_CPS_RFC,TECO,28297589,72FC,0030,NEL-V6-2,Prep & paint exposed welds,FM Eliminate the CSCC threat on flowline,GB.NEL.A0101888,2,40,0,"5,644.40","4,339.69",1/2/2023,1/1/2023
R_CPS_RFC,CNF  TECO,60334372,72FC,0010,NEL-V6-2,NE-2018-763,FM remedial work of pipework WP005,GB.NEL.A0203888,2,40,40,"7,120.00","5,440.00",1/2/2023,1/1/2023
